Pose/Time (ns),TEM-1/Ampicillin - PersScore 0.588 PoseScore 0.991,TEM-1/Cefixime - PersScore 0.368 PoseScore 2.815
0.341,0.757650882,0.890277863
0.342,0.758188031,0.890942775
0.343,0.758321347,0.891638736
0.344,0.758499514,0.892310318
0.345,0.758908015,0.893941719
0.346,0.75917277,0.894618513
0.347,0.759600245,0.896613085
0.348,0.763250895,0.897282696
0.349,0.763604298,0.897825972
0.35,0.763929133,0.898390038
0.351,0.764227597,0.899039879
0.352,0.76450299,0.899872355
0.353,0.764796775,0.900376675
0.354,0.765130511,0.901137904
0.355,0.765296809,0.902050792
0.356,0.765645583,0.902854772
0.357,0.766055295,0.903359587
0.358,0.766246358,0.904148087
0.359,0.766576489,0.904874984
0.36,0.766919434,0.905748872
0.361,0.767198149,0.906475954
0.362,0.76744146,0.90723805
0.363,0.767813465,0.908054056
0.364,0.768147182,0.908797192
0.365,0.768486754,0.909437993
0.366,0.768651862,0.910128999
0.367,0.769027261,0.911307889
0.368,0.769422843,0.912034405
0.369,0.769815698,0.91272921
0.37,0.770566327,0.913343689
0.371,0.770984669,0.914484553
0.372,0.771697186,0.915018932
0.373,0.772147563,0.915577114
0.374,0.772828719,0.916281811
0.375,0.773951881,0.917047714
0.376,0.774589791,0.917874194
0.377,0.7751003,0.918561435
0.378,0.775613545,0.919353525
0.379,0.77596471,0.920167251
0.38,0.776366437,0.920859873
0.381,0.776843926,0.921501841
0.382,0.777224339,0.922352535
0.383,0.777690589,0.923087226
0.384,0.778123673,0.923665254
0.385,0.778643082,0.924440829
0.386,0.779283276,0.925083559
0.387,0.77990497,0.925805132
0.388,0.780395872,0.926434254
0.389,0.780946547,0.927241667
0.39,0.781360014,0.927954775
0.391,0.781702754,0.928579365
0.392,0.782065595,0.929453313
0.393,0.782632704,0.930367528
0.394,0.783173756,0.931172868
0.395,0.783597889,0.931853125
0.396,0.784134823,0.932474684
0.397,0.784550058,0.933208687
0.398,0.785081536,0.934084593
0.399,0.785572644,0.934968174
0.4,0.786132649,0.935759528
0.401,0.787991111,0.936376537
0.402,0.788375811,0.936957278
0.403,0.788774006,0.937735168
0.404,0.789112035,0.938628766
0.405,0.789707457,0.939454136
0.406,0.789978702,0.940268107
0.407,0.790530788,0.941132222
0.408,0.791084585,0.941995971
0.409,0.791685909,0.945040498
0.41,0.792040079,0.945848642
0.411,0.792684065,0.946880609
0.412,0.793190517,0.947507802
0.413,0.793738569,0.949821423
0.414,0.794144438,0.950740696
