Pose/Time (ns),TEM-1/Ampicillin - PersScore 0.588 PoseScore 0.991,TEM-Ala237Arg/Ampicillin - PersScore 0.145 PoseScore 1.920
0.211,0.692131878,0.728061023
0.212,0.692675087,0.732989746
0.213,0.693105737,0.735095871
0.214,0.693372184,0.735900772
0.215,0.693678484,0.736847778
0.216,0.693839321,0.737403305
0.217,0.694028394,0.738028694
0.218,0.69433169,0.738586572
0.219,0.694607678,0.74143849
0.22,0.695013138,0.742143763
0.221,0.695280928,0.742797163
0.222,0.695541835,0.74342029
0.223,0.695898777,0.744058137
0.224,0.696423832,0.744916162
0.225,0.69677282,0.745722369
0.226,0.697136708,0.746505369
0.227,0.69712149,0.751548181
0.228,0.697346066,0.752455294
0.229,0.697711387,0.756452793
0.23,0.697687158,0.757299454
0.231,0.697852398,0.758040681
0.232,0.6979952,0.758933484
0.233,0.698393616,0.759752108
0.234,0.698636274,0.760494076
0.235,0.698816777,0.761123981
0.236,0.699140963,0.761822174
0.237,0.699492915,0.762608386
0.238,0.699683227,0.76352377
0.239,0.700095416,0.764305107
0.24,0.700416565,0.765191099
0.241,0.700822693,0.766052971
0.242,0.701079717,0.766827879
0.243,0.70140088,0.767583166
0.244,0.701563714,0.768046677
0.245,0.702064155,0.768656371
0.246,0.702368697,0.769479828
0.247,0.702632071,0.77037051
0.248,0.702972142,0.771443995
0.249,0.703332455,0.772073939
0.25,0.703732226,0.772803445
0.251,0.704064064,0.773473062
0.252,0.704664967,0.774142752
0.253,0.705174406,0.774997799
0.254,0.705839328,0.775871021
0.255,0.706248401,0.776754218
0.256,0.707466014,0.777614958
0.257,0.707919585,0.778342387
0.258,0.708432924,0.779203362
0.259,0.708804116,0.779945091
0.26,0.709300806,0.780544581
0.261,0.709958397,0.781340695
0.262,0.711072846,0.782059126
0.263,0.712785457,0.782715745
0.264,0.713087767,0.783505083
0.265,0.713443794,0.784178011
0.266,0.714346149,0.784942121
0.267,0.715106394,0.785672758
0.268,0.715865979,0.786430844
0.269,0.716372812,0.787082684
0.27,0.716830833,0.787476609
0.271,0.717226067,0.788053782
0.272,0.717627036,0.788713727
0.273,0.718116752,0.789457334
0.274,0.719202325,0.790584299
0.275,0.719694885,0.791182989
0.276,0.720156733,0.791981747
0.277,0.720602691,0.793901279
0.278,0.720928162,0.795772741
0.279,0.721882513,0.796201984
0.28,0.725178131,0.796732937
0.281,0.726300025,0.797435268
0.282,0.726782004,0.801195183
0.283,0.727176527,0.801623704
0.284,0.735904626,0.802268009
0.285,0.736494001,0.803341214
0.286,0.737145747,0.804569006
0.287,0.737393859,0.804809161
0.288,0.737720747,0.805306489
0.289,0.73833188,0.805815468
0.29,0.738934868,0.806129949
0.291,0.739281742,0.806546896
0.292,0.739737823,0.807003321
0.293,0.740218174,0.807409524
0.294,0.740233604,0.80792931
0.295,0.740446523,0.808526602
0.296,0.740492626,0.812874381
0.297,0.740441282,0.81345433
0.298,0.740440009,0.814073263
0.299,0.740489829,0.814727006
0.3,0.740400912,0.815280377
0.301,0.740916187,0.81584778
0.302,0.740998242,0.817738747
0.303,0.741154893,0.819240844
0.304,0.741433448,0.81996874
0.305,0.741654482,0.820412034
0.306,0.742670626,0.820886939
0.307,0.74289584,0.821486091
0.308,0.744275079,0.82217062
0.309,0.744568863,0.823117072
0.31,0.744791937,0.823791919
0.311,0.745001448,0.824329615
0.312,0.745873592,0.825040909
0.313,0.746681583,0.825595658
0.314,0.747008003,0.826289067
0.315,0.747754353,0.826865685
0.316,0.748153614,0.827382379
0.317,0.748460083,0.827933603
0.318,0.748742201,0.828503241
0.319,0.749466147,0.829022414
0.32,0.749990441,0.829607942
0.321,0.750293251,0.829840436
0.322,0.750547132,0.830202444
0.323,0.750991162,0.830803452
0.324,0.751239956,0.831386239
0.325,0.751576357,0.832064032
0.326,0.75188617,0.832681426
0.327,0.752257533,0.83323599
0.328,0.752540304,0.833999324
0.329,0.752901844,0.834547876
0.33,0.753366695,0.835025897
0.331,0.753766639,0.835662884
0.332,0.754151104,0.836063148
0.333,0.754481225,0.836464237
0.334,0.754877202,0.836955434
0.335,0.755318971,0.83738952
0.336,0.755745282,0.837866988
0.337,0.756131759,0.838294225
0.338,0.756626375,0.83883583
0.339,0.756987109,0.839322072
0.34,0.757387652,0.839906186
0.341,0.757650882,0.840376956
0.342,0.758188031,0.840544897
0.343,0.758321347,0.84078134
0.344,0.758499514,0.841100539
0.345,0.758908015,0.841309936
0.346,0.75917277,0.841511339
0.347,0.759600245,0.843754991
0.348,0.763250895,0.84414057
0.349,0.763604298,0.844372724
0.35,0.763929133,0.844933977
0.351,0.764227597,0.845094095
0.352,0.76450299,0.845259146
0.353,0.764796775,0.845272396
